Element,Eads,d-band
Ba,-0.780556,6.183
Ca,-0.745662,6.372
Co,-0.672904,-0.876
Cu,-0.295431,-1.632
Fe3+,-0.610658,-1.775
Mn3+,-0.61036,-0.527
Ni3+,-0.48978464,-1.562
Sr,-0.79583,4.56
W,-1.228395,-0.233
Zn,-0.365731,-19.076
Ce,-1.123102,3.526
Cr,-1.066463,-0.309
Ga,-0.663154,-13.832
Gd,-1.148165,3.396
Hf,-1.275732,0.053
Nd,-1.137888,3.522
Pb,-0.68302,-15.402
Sb,-0.550347,5.984
Sc,-1.035124,2.858
Sm,-1.107748,3.193
Sn,-0.877674,-20.482
U,-1.189183,1.647
Al,-0.862752,0.0
Bi,-0.730059,-21.928
Lu,-1.163288,3.857
In,-1.0064358,-13.74
Y,-1.11434612,3.557
