# t MSD MSD_a MSD_b MSD_c MSCD
1000 0.8534516425337704 0.2878608665921608 0.29203867514811577 0.2735521007934971 0.709147423698744
1240 0.9444661398866044 0.31858809788136294 0.3258082854234804 0.30006975658175244 0.7392141963960263
1480 1.019361937924637 0.3409879304303086 0.3539682334056573 0.3244057740886642 0.7676218225675417
1720 1.1027087312104606 0.36966254185368075 0.3844806525308919 0.34856553682589464 0.7597663452392741
1960 1.1799721932311331 0.39464007963072395 0.4114797844159303 0.37385232918447553 0.7733621938179107
2200 1.2561884810947392 0.41967522740883273 0.435381884411552 0.4011313692743628 0.7984045769361118
2440 1.3316315556043774 0.445037863254118 0.4621666980119512 0.4244269943383063 0.8113943644696139
2680 1.4024055379539362 0.46601956439715575 0.4876522796254779 0.4487336939312961 0.8068002668050975
2920 1.459589973539881 0.4862625874392698 0.5049658946338631 0.4683614914667409 0.8295516240570137
3160 1.521155972231239 0.5052613718586397 0.5270423609309399 0.488852239441655 0.8338133023559898
3400 1.577117680389151 0.5224404019057182 0.549670829837919 0.5050064486455113 0.8325539300669035
3640 1.6289915225321092 0.536902660505575 0.5684278242065428 0.5236610378199874 0.7870121446617481
3880 1.7008497849342676 0.5612786959035088 0.5945982853628842 0.5449728036678685 0.8207083647425105
4120 1.7618829178636009 0.5793380850242165 0.6166327156284923 0.5659121172108851 0.79803240186291
4360 1.8145110418473323 0.5991812507985259 0.6335783457235639 0.5817514453252345 0.8110428165824551
4600 1.8727863993277367 0.621702415041224 0.6557932550850378 0.595290729201452 0.8050706697784511
4840 1.9317701654675672 0.6408261167716633 0.6779368430632882 0.6130072056325984 0.8109878031530838
5080 1.9830964300898068 0.6603375326184776 0.6961655937591533 0.6265933037121824 0.8409544986071373
5320 2.030610672391281 0.6770077690611507 0.7133909281610331 0.6402119751691031 0.8281186637547348
5560 2.0827922336959745 0.6929927450386015 0.7318501948925388 0.6579492937648173 0.8126045549727409
5800 2.1386506430204246 0.7156837338906962 0.7496172134233401 0.6733496957064082 0.8062693124987038
6040 2.20534220281114 0.7355423482225293 0.7741311298874133 0.6956687247012084 0.8061025708960817
6280 2.269660689137419 0.7581306870116309 0.7995157719315945 0.7120142301941808 0.815068838461313
6520 2.3218157369986234 0.777947459686138 0.8171821066221758 0.7266861706903132 0.8384634958097031
6760 2.3820870671719416 0.7989087500635158 0.8402035129528913 0.7429748041555166 0.9095017732921308
7000 2.436553060699573 0.8144824759931893 0.8638122777160208 0.758258306990364 0.9235425664168138
7240 2.487003295377876 0.8348791866948705 0.8766653856524548 0.7754587230305614 0.8778564020577574
7480 2.5357314445012977 0.8519821615800404 0.8947023733417755 0.7890469095794506 0.8830097105567664
7720 2.5825692368308046 0.8695541074868491 0.9107831646291359 0.8022319647148105 0.8166891003290284
7960 2.632607762088911 0.889613640834906 0.9224138248138877 0.820580296440135 0.8173937286558736
8200 2.684537189833429 0.9061878807839662 0.9421909777148195 0.8361583313346389 0.7974311875632578
8440 2.740868653277159 0.9265104918991381 0.9599310094272545 0.8544271519507688 0.8294596818171277
8680 2.7801414826432786 0.9422936543972874 0.971007272758641 0.8668405554873481 0.8133261598322749
8920 2.823823067817037 0.9573684226821534 0.9858006920926088 0.8806539530422821 0.7848854157454918
9160 2.870982681641257 0.9726175888816739 1.0038876391033507 0.8944774536562314 0.7906217354914752
9400 2.9179392691133557 0.9922374632642031 1.0173378535037652 0.9083639523454325 0.806693148216077
9640 2.9735963013356077 1.0128436230132547 1.035201842393278 0.925550835929078 0.7783377858485746
9880 3.0155801648617757 1.029729153122784 1.04991085848837 0.9359401532506343 0.7770183574572646
10120 3.0573460362661913 1.0450865537926977 1.0644222814632596 0.947837201010222 0.7641832852207692
10360 3.098604758398461 1.0606193530014105 1.083011475951963 0.9549739294450953 0.7571033839006206
10600 3.134898135672323 1.0736661800290581 1.09632161655797 0.9649103390853061 0.7508342650349049
10840 3.1690946158250077 1.0829920878789623 1.108815835634647 0.9772866923113914 0.7827393243484403
11080 3.2077170661309995 1.0965354227321593 1.125821361688472 0.9853602817103605 0.8426819180423548
11320 3.2443106379295537 1.1087029957290784 1.1405926762413179 0.9950149659591521 0.8353336180866074
11560 3.2815002495645813 1.1211530686003166 1.1535051733844948 1.0068420075797833 0.8342823494086574
11800 3.3281018813472123 1.1361222153521826 1.1720808872645483 1.0198987787304865 0.8228082909337626
12040 3.3764021889748244 1.153738293027484 1.1921385908045872 1.03052530514274 0.7985967610408622
12280 3.4114632824524826 1.1660592212579088 1.2040503627722539 1.0413536984223164 0.7941565889784524
12520 3.4437109291558925 1.1785712573011704 1.2168661367455467 1.0482735351091554 0.7894182303136391
12760 3.4797612406132203 1.1916096632204791 1.231244526877205 1.0569070505155294 0.7832624598562496
13000 3.5148840073131207 1.205348424954628 1.2414625292145323 1.068073053143969 0.8018227863666546
13240 3.5564134244010197 1.2186432815901953 1.25562990671438 1.0821402360964365 0.808690107577255
13480 3.596386147892961 1.2331253227849046 1.2715561765462138 1.091704648561862 0.8338337349712216
13720 3.6321642398566034 1.249906760783686 1.280318738498294 1.1019387405746297 0.8372308729646954
13960 3.6703568332056022 1.2618271390181393 1.2959803342879668 1.1125493598995 0.8109229677646993
14200 3.697137537280972 1.2730834308915564 1.307782649307555 1.1162714570818661 0.8246777660373104
14440 3.7258459165093627 1.2882057453235654 1.3138514664384344 1.1237887047473611 0.8185620376829075
14680 3.7601126801166154 1.3059961785202052 1.326294269156249 1.127822232440172 0.8092775289419167
14920 3.8007102989733905 1.322365632241126 1.3435410950473163 1.1348035716849545 0.8231363828115114
15160 3.8472435191884577 1.3420837539428692 1.3595109937462113 1.14564877149938 0.866164909312923
15400 3.897004382152365 1.3622962461028545 1.3782730150123697 1.156435121037141 0.8348934724931971
15640 3.942355312270734 1.3836113113747786 1.393362389732519 1.1653816111634479 0.8446227605652203
15880 3.9861204661808887 1.4011173142062374 1.411844973708237 1.173158178266417 0.8949470622005004
16120 4.024924875299415 1.41720922550476 1.4264246068996862 1.1812910428949586 0.8347703325980099
16360 4.081995373055851 1.4375422967443097 1.4483768254946539 1.1960762508168887 0.8504829036001064
16600 4.117969891117959 1.4527815285830348 1.4630283383852216 1.2021600241496897 0.8125555959808741
16840 4.159408821264834 1.4718884963161114 1.474132620846778 1.2133877041019405 0.8337917482607455
17080 4.2025595501492665 1.490672175303173 1.4914192256613237 1.2204681491847764 0.8524493375618384
17320 4.2427054089788685 1.5091703270514167 1.5051756967967838 1.2283593851306889 0.8299835137289379
17560 4.279515938977451 1.525099832862965 1.5175945573980942 1.2368215487164067 0.8171078548320344
17800 4.3119225784933315 1.5363167627442775 1.5295261545769925 1.2460796611720566 0.8229620899019073
18040 4.337071434581226 1.554719105478186 1.533430551325355 1.248921777777706 0.8037858561773222
