r_A,g_r
0.025,0.0
0.07500000000000001,0.0
0.125,0.0
0.17500000000000002,0.0
0.225,0.0
0.275,0.0
0.32500000000000007,0.0
0.375,0.0
0.42500000000000004,0.0
0.475,0.0
0.525,0.0
0.5750000000000001,0.0
0.625,0.0
0.675,0.0
0.7250000000000001,0.0
0.775,0.0
0.8250000000000001,0.0
0.875,0.0
0.925,0.0
0.9750000000000001,0.0
1.025,0.0
1.0750000000000002,0.0
1.125,0.0
1.1750000000000003,0.0
1.225,0.0
1.275,0.0
1.3250000000000002,0.0
1.375,0.0
1.4250000000000003,0.0
1.475,0.0
1.525,0.0
1.5750000000000002,0.0
1.625,0.0
1.6750000000000003,0.0
1.725,0.0
1.775,0.0
1.8250000000000002,0.0
1.875,0.0
1.9250000000000003,0.0
1.975,0.0
2.0250000000000004,0.0
2.075,0.00010202643644569061
2.125,9.728189649656464e-05
2.175,0.00041787346961721944
2.225,0.0018634207270514346
2.2750000000000004,0.007129661915577186
2.325,0.0192599709443853
2.375,0.046299737034243636
2.4250000000000003,0.10648741479201748
2.475,0.21385154680949325
2.5250000000000004,0.3812013238188565
2.575,0.6269136326755805
2.625,0.95880786011721
2.6750000000000003,1.3507096648914794
2.725,1.770467339227598
2.7750000000000004,2.1640464253061795
2.825,2.5235877216279006
2.875,2.790352927686799
2.9250000000000003,2.950193922122322
2.975,2.9930742253292313
3.0250000000000004,2.939932628787735
3.075,2.8121185399459554
3.125,2.606635705701875
3.1750000000000003,2.3871062079988383
3.225,2.1475412098156563
3.2750000000000004,1.9013529220159178
3.325,1.6705192638355968
3.375,1.4659654376277511
3.4250000000000003,1.2835856930746001
3.475,1.117386301178917
3.5250000000000004,0.9778871390851739
3.575,0.8633849281887056
3.625,0.7582611388459097
3.6750000000000003,0.6732996714370053
3.725,0.6017932082133028
3.7750000000000004,0.5393626309818417
3.825,0.4819060487780001
3.875,0.43853841308915437
3.9250000000000003,0.407589816079494
3.975,0.379954294613786
4.025,0.3588860065230953
4.075,0.349498206377509
4.125,0.35034551167290057
4.175000000000001,0.34961564866747974
4.225,0.3693590358432721
4.275,0.39290807510561926
4.325,0.4188806865122686
4.375,0.4646165694063802
4.425000000000001,0.5098278354189327
4.475,0.5593742688956934
4.525,0.6181504887377591
4.575,0.6786872806587819
4.625,0.7396900306317631
4.675000000000001,0.797127691123024
4.725,0.8560151724940753
4.775,0.9132858255853997
4.825000000000001,0.9664637030616393
4.875,1.004968051241099
4.925000000000001,1.0473501662816351
4.975,1.086644836758608
5.025,1.124428212825747
5.075000000000001,1.1519224213334731
5.125,1.1836208392184846
5.175000000000001,1.2155008398518043
5.225,1.2502299419474183
5.275,1.2781806936725517
5.325000000000001,1.3254482056887107
5.375,1.373024784017006
5.425000000000001,1.4220634713179967
5.475,1.459300131692686
5.525,1.5077631706431633
5.575000000000001,1.5436598767382883
5.625,1.5684397821481075
5.675000000000001,1.5784562834461386
5.725,1.5846347922632071
5.775,1.5679574437663195
5.825000000000001,1.5354586485802622
5.875,1.4862764164463653
5.925000000000001,1.4213408782064798
5.975,1.3452503720359097
6.025,1.2603275291048048
6.075000000000001,1.1665079369898013
6.125,1.0650967906101816
6.175000000000001,0.9621955020793903
6.225,0.8682313018073166
6.275,0.7819810618141748
6.325000000000001,0.6987725493533936
6.375,0.6313421619285191
6.425000000000001,0.5669502303590337
6.475,0.5190237676092738
6.525,0.4858717320515108
6.575000000000001,0.4597207669714658
6.625,0.445030713972559
6.675000000000001,0.44706515794193613
6.725,0.4563822253053598
6.775,0.47270781897210123
6.825000000000001,0.5050216419415408
6.875,0.5398156648589321
6.925000000000001,0.49567612280899737
6.975,0.4857823640959891
7.025,0.5466120213410588
7.075000000000001,0.6202660090531575
7.125,0.7061623177722192
7.175000000000001,0.7956754263914693
7.225,0.8849575220640755
7.275,0.9697719443564222
7.325000000000001,1.0519013098130352
7.375,1.1248362986686087
7.425000000000001,1.174334519753213
7.475,1.209372639237443
7.525,1.2161169572992843
7.575000000000001,1.1977346284290935
7.625,1.1538907451333007
7.675000000000001,1.094650686461809
7.725,1.0252113949980337
7.775,0.9521678714173174
7.825000000000001,0.8781393529114706
7.875,0.8156980162657467
7.925000000000001,0.7556039613270442
7.975,0.7133632651332364
