r_A,g_r,cn_int
0.025,0,0
0.075,0,0
0.125,0,0
0.175,0,0
0.225,0,0
0.275,0,0
0.325,0,0
0.375,0,0
0.425,0,0
0.475,0,0
0.525,0,0
0.575,0,0
0.625,0,0
0.675,0,0
0.725,0,0
0.775,0,0
0.825,0,0
0.875,0,0
0.925,0,0
0.975,0,0
1.025,0,0
1.075,0,0
1.125,0,0
1.175,0,0
1.225,0,0
1.275,0,0
1.325,0,0
1.375,0,0
1.425,0,0
1.475,0,0
1.525,0,0
1.575,0,0
1.625,0,0
1.675,0,0
1.725,0,0
1.775,0,0
1.825,0,0
1.875,0,0
1.925,0,0
1.975,0,0
2.025,0,0
2.075,0,0
2.125,0,0
2.175,0,0
2.225,0,0
2.275,0,0
2.325,0,0
2.375,0,0
2.425,0,0
2.475,0,0
2.525,0,0
2.575,0,0
2.625,0,0
2.675,0,0
2.725,0,0
2.775,0,0
2.825,0,0
2.875,0,0
2.925,0.587348248,0.000599985
2.975,5.677718163,0.00719983
3.025,10.98316084,0.025199416
3.075,17.53767932,0.056998707
3.125,27.44400016,0.108797589
3.175,33.39922285,0.180996077
3.225,36.23690686,0.266194346
3.275,34.04569374,0.354792599
3.325,35.90819721,0.445790861
3.375,33.67570711,0.538989132
3.425,29.98659602,0.62678755
3.475,24.69105408,0.704386191
3.525,23.59115822,0.774984991
3.575,17.03809045,0.835983982
3.625,13.00211501,0.882383235
3.675,9.426032763,0.917982678
3.725,5.794539149,0.9427823
3.775,3.643830542,0.958582065
3.825,2.060820571,0.968381924
3.875,1.450209186,0.974581836
3.925,1.522227555,0.979981763
3.975,0.954111776,0.984581701
4.025,1.137344599,0.988581649
4.075,1.109605879,0.992981593
4.125,0.1968854,0.995581561
4.175,0.288296814,0.996581549
4.225,0.656865245,0.998581525
4.275,0,0.999981509
4.325,0,0.999981509
4.375,0,0.999981509
4.425,0,0.999981509
4.475,0,0.999981509
4.525,0,0.999981509
4.575,0,0.999981509
4.625,0,0.999981509
4.675,0,0.999981509
4.725,0,0.999981509
4.775,0,0.999981509
4.825,0,0.999981509
4.875,0,0.999981509
4.925,0,0.999981509
4.975,0,0.999981509
5.025,0,0.999981509
5.075,0,0.999981509
5.125,0,0.999981509
5.175,0,0.999981509
5.225,0,0.999981509
5.275,0,0.999981509
5.325,0,0.999981509
5.375,0,0.999981509
5.425,0,0.999981509
5.475,0,0.999981509
5.525,0,0.999981509
5.575,0,0.999981509
5.625,0,0.999981509
5.675,0,0.999981509
5.725,0,0.999981509
5.775,0,0.999981509
5.825,0,0.999981509
5.875,0,0.999981509
5.925,0,0.999981509
5.975,0,0.999981509
6.025,0,0.999981509
6.075,0,0.999981509
6.125,0,0.999981509
6.175,0,0.999981509
6.225,0,0.999981509
6.275,0,0.999981509
6.325,0,0.999981509
6.375,0,0.999981509
6.425,0,0.999981509
6.475,0,0.999981509
6.525,0,0.999981509
6.575,0,0.999981509
6.625,0,0.999981509
6.675,0,0.999981509
6.725,0,0.999981509
6.775,0,0.999981509
6.825,0,0.999981509
6.875,0,0.999981509
6.925,0,0.999981509
6.975,0,0.999981509
7.025,0,0.999981509
7.075,0,0.999981509
7.125,0,0.999981509
7.175,0,0.999981509
7.225,0,0.999981509
7.275,0,0.999981509
7.325,0,0.999981509
7.375,0,0.999981509
7.425,0,0.999981509
7.475,0,0.999981509
7.525,0,0.999981509
7.575,0,0.999981509
7.625,0,0.999981509
7.675,0,0.999981509
7.725,0,0.999981509
7.775,0,0.999981509
7.825,0,0.999981509
7.875,0,0.999981509
7.925,0,0.999981509
7.975,0,0.999981509
