surface_element,atomic_radius,valence,ionic_radius,electronegativity,work_function,band_gap,,adsorption_energy,s_band_center,d_band_center,p_band_center
Ba,,2,1.35,0.98,2.9,2.5,-2,-0.780556,-24.308,6.183,-10.156
Ca,,2,1,0.93,2.3,2.3,-1.8,-0.745662,-37.373,6.372,-18.709
Co,,3,0.745,1.61,4.2,0,-1.5,-0.672904,-0.959,-0.876,-0.365
Cu,,2,0.77,1.9,4.8,1.1,-1.2,-0.295431,1.114,-1.632,1.672
Fe,,3,0.645,,,,,-0.610658,1.202,-1.775,1.195
Mn3+,,3,0.645,,,,,-0.61036,1.034,-0.527,-44.024
Ni3+,,3,0.56,,,,,-0.48978464,0.674,-1.562,0.567
Sr,,2,,,,,,-0.79583,-31.735,4.56,-13.967
W3+,,3,,,,,,-1.228395,-53.263,-0.233,-36.13
Zn,,2,,,,,,-0.365731,-2.947,-19.076,1.125
Ce,,2,,,,,,-1.123102,-30.377,3.526,-15.931
Cr,,3,,,,,,-1.066463,0.75,-0.309,-39.91
Ga,,3,,,,,,-0.663154,-1.876,-13.832,2.804
Gd,,3,,,,,,-1.148165,6.95,3.396,-17.85
Hf4+,,4,,,,,,-1.275732,-1.461,0.053,-28.389
Nd,,3,,,,,,-1.137888,-33.476,3.522,-17.373
Pb,,4,,,,,,-0.68302,-5.342,-15.402,3.584
Sb,,3,,,,,,-0.550347,-7,5.984,1.216
Sc,,3,,,,,,-1.035124,-39.349,2.858,-25.743
Sm,,3,,,,,,-1.107748,-33.761,3.193,-18.67
Sn4+,,4,,,,,,-0.877674,-4.509,-20.482,2.259
U,,3,,,,,,-1.189183,-40.829,1.647,-18.422
Zr4+,,4,,,,,,,,,
Al3+,,3,,,,,,-0.862752,0.225,0,2.579
Bi3+,,3,,,,,,-0.730059,-8.915,-21.928,1.572
Lu3+,,3,,,,,,-1.163288,1.149,3.857,-21.789
In3+,,3,,,,,,-1.0064358,-1.775,-13.74,3.29
Y3+,,3,,,,,,-1.11434612,-36.341,3.557,-18.087
,,,,,,,,,,-21.928,1.572
